# offset relative_offset cap_id vs_cap_id value
0x027f  384 0x05 0x06 0x00000000
0x0280  385 0x05 0x06 0x00000000
0x0281  386 0x05 0x06 0x00000000
0x0282  387 0x05 0x06 0x00000000
0x0283  388 0x05 0x06 0x00000000
0x0284  389 0x05 0x06 0x00000000
0x0285  390 0x05 0x06 0x00000000
0x0286  391 0x05 0x06 0x00000000
0x0287  392 0x05 0x06 0x00000000
0x0288  393 0x05 0x06 0x00000000
0x0289  394 0x05 0x06 0x00000000
0x028a  395 0x05 0x06 0x00000000
0x028b  396 0x05 0x06 0x00000000
0x028c  397 0x05 0x06 0x00000000
0x028d  398 0x05 0x06 0x00000000
0x028e  399 0x05 0x06 0x00000000
0x028f  400 0x05 0x06 0x00000000
0x0290  401 0x05 0x06 0x00000000
0x0291  402 0x05 0x06 0x00000000
0x0292  403 0x05 0x06 0x00000000
0x0293  404 0x05 0x06 0x00000000
0x0294  405 0x05 0x06 0x00000000
0x0295  406 0x05 0x06 0x00000000
0x0296  407 0x05 0x06 0x00000000
0x0297  408 0x05 0x06 0x00000000
0x0298  409 0x05 0x06 0x00000000
0x0299  410 0x05 0x06 0x00000000
0x029a  411 0x05 0x06 0x00000000
0x029b  412 0x05 0x06 0x00000000
0x029c  413 0x05 0x06 0x00000000
0x029d  414 0x05 0x06 0x00000000
0x029e  415 0x05 0x06 0x00000000
0x029f  416 0x05 0x06 0x00000000
0x02a0  417 0x05 0x06 0x00031000
0x02a1  418 0x05 0x06 0x00000000
0x02a2  419 0x05 0x06 0x00000000
0x02a3  420 0x05 0x06 0x00000000
0x02a4  421 0x05 0x06 0x00000040
0x02a5  422 0x05 0x06 0x00001970
0x02a6  423 0x05 0x06 0x00000000
0x02a7  424 0x05 0x06 0x00000000
0x02a8  425 0x05 0x06 0x00000000
0x02a9  426 0x05 0x06 0x00000140
0x02aa  427 0x05 0x06 0x00000000
0x02ab  428 0x05 0x06 0x00000000
0x02ac  429 0x05 0x06 0x00000000
0x02ad  430 0x05 0x06 0x00000000
0x02ae  431 0x05 0x06 0x00000000
0x02af  432 0x05 0x06 0x00000000
0x02b0  433 0x05 0x06 0x11000009
0x02b1  434 0x05 0x06 0x00000000
0x02b2  435 0x05 0x06 0x00000000
0x02b3  436 0x05 0x06 0x00000000
0x02b4  437 0x05 0x06 0x00000000
0x02b5  438 0x05 0x06 0x00000000
0x02b6  439 0x05 0x06 0x00000000
0x02b7  440 0x05 0x06 0x00000000
0x02b8  441 0x05 0x06 0x00002c0f
0x02b9  442 0x05 0x06 0x00000000
0x02ba  443 0x05 0x06 0x00000000
0x02bb  444 0x05 0x06 0x00000000
0x02bc  445 0x05 0x06 0x00000000
0x02bd  446 0x05 0x06 0x00000000
0x02be  447 0x05 0x06 0x00000000
0x02bf  448 0x05 0x06 0x00003000
0x02c0  449 0x05 0x06 0x00000003
0x02c1  450 0x05 0x06 0x00000000
0x02c2  451 0x05 0x06 0x00000000
0x02c3  452 0x05 0x06 0x00000000
0x02c4  453 0x05 0x06 0x00000000
0x02c5  454 0x05 0x06 0x00000000
0x02c6  455 0x05 0x06 0x00000000
0x02c7  456 0x05 0x06 0x00000000
0x02c8  457 0x05 0x06 0x00000000
0x02c9  458 0x05 0x06 0x00000000
0x02ca  459 0x05 0x06 0x00000000
0x02cb  460 0x05 0x06 0x00000000
0x02cc  461 0x05 0x06 0x0000000a
0x02cd  462 0x05 0x06 0x00000000
0x02ce  463 0x05 0x06 0x00000000
0x02cf  464 0x05 0x06 0x00000000
0x02d0  465 0x05 0x06 0x00000000
0x02d1  466 0x05 0x06 0x00000000
0x02d2  467 0x05 0x06 0x00000000
0x02d3  468 0x05 0x06 0x00000000
0x02d4  469 0x05 0x06 0x00000000
0x02d5  470 0x05 0x06 0x00000000
0x02d6  471 0x05 0x06 0x00000000
0x02d7  472 0x05 0x06 0x00000000
0x02d8  473 0x05 0x06 0x00000000
0x02d9  474 0x05 0x06 0x00000000
0x02da  475 0x05 0x06 0x00000000
0x02db  476 0x05 0x06 0x65000000
0x02dc  477 0x05 0x06 0x0000009c
0x02dd  478 0x05 0x06 0x00000000
0x02de  479 0x05 0x06 0x00000000
0x02df  480 0x05 0x06 0x00000000
0x02e0  481 0x05 0x06 0x00000000
0x02e1  482 0x05 0x06 0x00000000
0x02e2  483 0x05 0x06 0x00000000
